aID_STAO,elevation,HS,land_use,SR_pl_mean,SR_pl_trend,T_pl_mean,T_pl_trend,SR_mo_mean,SR_mo_trend,T_mo_mean,T_mo_sh_mean,T_mo_lo_mean,T_mo_trend,T_mo_sh_trend,T_mo_lo_trend,TU_mo,TU_pl
24,1276,subalpine,grassland,38.333333333333336,1.99999999999999,3.15,-0.1200000000000014,4,-0,3,NaN,3,-7.691850745534255e-16,NA,-7.691850745534255e-16,0.39999999999999997,0.2370598456815133
25,828,montane,forest,9.5,-2.0000000000000004,3.31,-0.02399999999999931,5.75,-1.0000000000000009,3.085,3.3333333333333335,3.0416666666666665,-0.09200000000000016,-0.7142857142857146,0.03333333333333391,0.7042748917748918,0.5136752136752136
26,1212,montane,forest,37.333333333333336,-10.000000000000021,3.103333333333333,-0.020000000000001728,21,2.9999999999999925,3,3,3,-7.691850745534255e-16,1.25607396694702e-15,-7.691850745534255e-16,0.32264957264957267,0.34860230209067417
27,523,colline,forest,12.666666666666666,-2.8261664256307954e-15,3.4266666666666667,0.049999999999999004,9.666666666666666,-1.0000000000000024,3.45,3.75,3.4243386243386245,-0.1000000000000009,-0.9999999999999993,-0.02857142857142987,0.7023809523809524,0.15384615384615385
28,605,colline,forest,31.666666666666668,1.0526315789473557,3.7033333333333336,-0.02631578947368563,26.666666666666668,1.0526315789473626,3.11,3,3.131062951496388,0.15394736842105192,-8.096684995299217e-16,0.17638911520286688,0.37311827956989246,0.31686560565870914
29,640,montane,forest,14.333333333333334,-10.00000000000001,3.3466666666666667,0.07999999999999972,7.333333333333333,4.9999999999999964,3.0433333333333334,NaN,3.0416666666666665,0.129999999999999,NA,0.12499999999999968,0.40404040404040403,0.5347027699968876
30,685,montane,grassland,23.5,-1.9999999999999964,3.46,-0.03999999999999767,2.5,-1.9999999999999991,4,4,NaN,NA,NA,NA,1,0.5
31,1202,montane,forest,9.333333333333334,-1.0000000000000038,3.23,-1.7516343992190867e-15,21.666666666666668,-8.164480785155632e-15,2.88,3,2.8607142857142858,-0.01000000000000095,-7.691850745534255e-16,-0.017857142857143737,0.3235005574136009,0.07407407407407407
32,1108,montane,grassland,43,-16.400000000000002,3.0725,-0.06199999999999939,20,11.6,2.9225,2.6444444444444444,2.9605263157894735,-0.08199999999999948,-0.46666666666666806,-0.03157894736842071,0.6697018641278604,0.68054496143741
33,1040,montane,forest,25.666666666666668,4.99999999999999,3.046666666666667,0.03999999999999966,21.666666666666668,4.99999999999999,3.0166666666666666,3,3.0256410256410255,-1.589718614417322e-15,-7.691850745534254e-16,-5.691585162728684e-16,0.4180602006688963,0.3164367816091954
34,1189,subalpine,grassland,27.333333333333332,-5.000000000000005,3.3,0.03999999999999823,2.6666666666666665,-2.0000000000000004,4,4,NaN,NA,NA,NA,0.6666666666666666,0.2572356630824373
35,1127,subalpine,forest,50.75,3,3.0324999999999998,-0.05400000000000008,16.5,5.199999999999999,3,3,3,0,0,0,0.4545196361372832,0.2696115472884983
36,568,colline,grassland,26.333333333333332,-10.000000000000018,3.5033333333333334,-0.0300000000000008,0.3333333333333333,-1.570092458683775e-16,NaN,NaN,NaN,NA,NA,NA,NA,0.498989898989899
37,460,colline,forest,16.25,7.653061224489798,3.4875,0.10204081632653061,9.25,3.26530612244898,3.4924999999999997,3.933333333333333,3.4166666666666665,0.422448979591837,0.1999999999999997,0.5102040816326526,0.7482142857142857,0.727185441646226
38,878,montane,forest,10,-1.0000000000000044,3.4466666666666668,-1.3198589730810486e-15,15,5.9999999999999885,3.07,3.3333333333333335,3,-0.05000000000000116,-9.420554752102651e-16,-7.691850745534255e-16,0.548202614379085,0.18484848484848485
39,1418,subalpine,forest,57.25,7.400000000000002,2.9475000000000002,-0.006000000000000052,5.5,-3.9720546451956367e-16,3.05,4,3,0.12000000000000027,NA,-0,0.45,0.34019237916760986
40,806,montane,grassland,37.333333333333336,1.999999999999985,3.4233333333333333,-0.020000000000000743,6.333333333333333,5.9999999999999964,3.365,4,3.125,0.13999999999999996,2.51214793389404e-15,0.5000000000000014,0.6455026455026455,0.25383920505871727
41,1128,montane,forest,31.666666666666668,0.9999999999999843,3.0533333333333332,0.06999999999999951,21,0.9999999999999918,2.9833333333333334,2.738888888888889,3.041830065359477,0.04999999999999973,-0.050000000000001356,0.06666666666666621,0.3910493827160494,0.3258297258297258
42,1041,subalpine,grassland,20.75,-2.200000000000001,3.3,0.039999999999999855,1.75,-1.3999999999999997,3,NaN,3,-7.691850745534254e-16,NA,-7.691850745534254e-16,0.5833333333333333,0.3217736369910283
43,629,colline,forest,4.25,0.20000000000000015,3.5949999999999998,-0.27599999999999975,8.25,1,3.4699999999999998,4,3.455357142857143,0.1480000000000002,NA,0.1357142857142863,0.6315559440559441,0.5222222222222223
44,736,montane,forest,36.333333333333336,4.999999999999998,3.3633333333333333,-0.10000000000000206,11.666666666666666,9.999999999999995,3.1766666666666667,3.3111111111111113,3.0555555555555554,0.20000000000000023,0.33333333333333165,0.16666666666666574,0.6725681725681726,0.488047138047138
45,1112,montane,forest,12.333333333333334,-7.000000000000004,3.23,-0.08000000000000057,9,-7.000000000000005,3.066666666666667,3.166666666666667,3.0476190476190474,-0.2000000000000012,-0.6666666666666663,-0.1428571428571441,0.6147186147186147,0.3759920634920635
46,1155,subalpine,grassland,34,-7.49435665914221,3.1950000000000003,-0.011286681715575175,2.5,-0.3160270880361171,3,NaN,3,NA,NA,NA,0.5,0.31387748753688294
47,1211,subalpine,forest,34,4.999999999999993,3.1,-0.009999999999999842,17,0.9999999999999981,3.03,3,3.033333333333333,-0.09000000000000198,1.2560739669470201e-15,-0.10000000000000177,0.5930864197530864,0.3322734499205088
48,817,montane,grassland,36.333333333333336,-9.000000000000021,3.3433333333333333,-0.06000000000000073,3,4,3.5,3.5,NaN,NA,NA,NA,0.5555555555555556,0.41593298642794313
49,882,montane,forest,11.25,10.2,3.0525,0.09399999999999978,16.75,1.4,2.9825,3,2.980769230769231,0.014000000000000056,-7.691850745534254e-16,0.015384615384615328,0.4475612679947045,0.6021303258145363
50,837,montane,forest,15.333333333333334,2.999999999999995,3.1333333333333333,0.07999999999999874,14.333333333333334,-9.000000000000005,3.0366666666666666,3,3.0416666666666665,-0.11000000000000233,-7.691850745534255e-16,-0.12500000000000086,0.530718954248366,0.5067873303167421
51,497,colline,forest,6.333333333333333,1.9999999999999971,3.5433333333333334,-1.3738309013483032e-16,14.333333333333334,2.999999999999995,3.276666666666667,3.5,3.2483164983164983,0.08999999999999911,1.25607396694702e-15,0.050505050505050046,0.38130252100840334,0.4654761904761905
52,926,montane,grassland,25.666666666666668,-8.000000000000009,3.296666666666667,-0.13000000000000048,0.6666666666666666,-2.000000000000001,4,4,NaN,NA,NA,NA,NA,0.4663299663299663
53,1413,subalpine,forest,57.75,-0.07936507936507645,2.9675000000000002,-0.07619047619047661,8.25,-1.1111111111111114,2.95,4,2.908333333333333,0.02222222222222195,NA,0.060846560846560815,0.6804778554778554,0.4185879385355835
54,1007,montane,grassland,32,0.9999999999999917,3.2233333333333336,-0.05000000000000192,2.6666666666666665,-1.0000000000000004,3,NaN,3,-7.691850745534254e-16,NA,-7.691850745534254e-16,0.2222222222222222,0.26489262371615313
55,1181,montane,grassland,29.666666666666668,6.999999999999995,3.2,0.0999999999999993,2.3333333333333335,1.9999999999999991,4,4,NaN,NA,NA,NA,0.75,0.47811315356555323
56,1063,subalpine,forest,21.5,-1.6000000000000012,2.875,0.016000000000000195,29,0.4000000000000019,2.95,2.708333333333333,2.99,0.011999999999999211,-0.033333333333333034,0.007999999999999655,0.37104086845466155,0.2753623188405797
57,939,montane,forest,28.666666666666668,-1.0000000000000115,3.1666666666666665,0.029999999999998788,19,-6.00000000000001,3.0566666666666666,3,3.060185185185185,0.009999999999998253,1.2560739669470201e-15,0.006944444444444664,0.4076923076923077,0.3110846366894754
58,758,montane,grassland,38,-18.000000000000025,3.466666666666667,-0.11000000000000079,3.3333333333333335,-3.0000000000000004,4,4,NaN,1.25607396694702e-15,1.25607396694702e-15,NA,0.7111111111111111,0.4934334845049131
59,735,montane,grassland,44,4.999999999999975,3.4,0.10000000000000009,2.6666666666666665,4,3.5,3.5,NaN,NA,NA,NA,0.5833333333333334,0.3489190548014077
60,738,montane,forest,17.5,-7.599999999999998,3.3375,-0.13400000000000017,17.25,3.8000000000000007,3.0875,3.4,3.019230769230769,0.054000000000000076,0.2999999999999991,-0.015384615384615328,0.5871733529628267,0.7141559829059829
61,623,montane,grassland,38,-5.00000000000002,3.3766666666666665,0.009999999999998807,6.666666666666667,-7.000000000000001,3.473333333333333,4,3,-0.750000000000001,2.5121479338940403e-15,-7.691850745534254e-16,0.5797619047619048,0.34589685676642196
62,659,montane,forest,10.333333333333334,6.999999999999995,3.1633333333333336,0.22999999999999884,22.333333333333332,6.9999999999999885,3.1733333333333333,3.5555555555555554,3.1222222222222222,0.12999999999999856,0.16666666666666657,0.09999999999999797,0.44892402283706634,0.5767195767195767
63,761,montane,forest,2.75,2.2,3.1533333333333333,-0.20000000000000198,8.25,1.3999999999999997,3.515,3.6666666666666665,3.4825757575757574,-0.016000000000000205,1,-0.10727272727272771,0.6392857142857142,0.47777777777777775
64,1306,subalpine,grassland,59,-2.888970123978146e-14,3.0766666666666667,-0.10000000000000137,4.333333333333333,3.9999999999999987,3.11,4,3,0.3299999999999993,NA,-7.691850745534254e-16,0.5222222222222223,0.3314610566448802
65,1078,montane,grassland,61,2.9999999999999694,3.316666666666667,0.039999999999999175,10.666666666666666,-10.000000000000007,2.93,NaN,2.9304029304029307,-0.08000000000000185,NA,-0.07692307692307956,0.733652312599681,0.49206349206349204
66,1182,subalpine,grassland,25,0.9999999999999931,3.23,-0.060000000000001066,0.3333333333333333,-1.5700924586837752e-16,3,NaN,3,NA,NA,NA,NA,0.5029556650246305
67,1869,subalpine,grassland,51.333333333333336,-1.000000000000019,1.93,-0.010000000000000895,25.666666666666668,-7.53644380168212e-15,2.6733333333333333,1.8777777777777778,2.8886689291101058,-0.22000000000000053,-0.8333333333333349,-0.055147058823530166,0.43898809523809523,0.2406387609962585
68,1046,montane,forest,27,-0.4000000000000019,3.0774999999999997,-0.0019999999999999567,22.5,1.6000000000000016,2.9575,2.720833333333333,3.0166666666666666,0.041999999999999635,-0.02333333333333361,0.040000000000000216,0.4814360331026998,0.315061763952893
69,1447,subalpine,grassland,53.5,2.399999999999997,2.895,0.03200000000000039,8,-1.1999999999999993,3,3,3,0,NA,0,0.43093711843711846,0.46221719457013577
70,1607,subalpine,grassland,72,-2.0000000000000164,2.9233333333333333,-0.11000000000000111,12,0.999999999999995,3.12,3.416666666666667,3.0555555555555554,0.24999999999999903,0.3333333333333343,0.16666666666666577,0.6055555555555555,0.24837377534745955
71,1434,subalpine,forest,39.666666666666664,-8.428571428571438,2.8766666666666665,-0.05857142857142883,32.333333333333336,1.5714285714285643,2.83,2.9166666666666665,2.8084795321637426,0.06428571428571397,0.03571428571428521,0.053884711779448036,0.4646752015173068,0.4667207792207792
72,1000,montane,grassland,57.333333333333336,0.9999999999999688,3.59,-0.020000000000001503,4,-2.0000000000000018,3.5566666666666666,3.6666666666666665,3.5,0.9999999999999999,NA,1.0000000000000013,0.7944444444444445,0.3896996074415429
73,518,colline,grassland,51.5,3.265306122448978,3.4375,-0.0020408163265312955,12,2.6530612244897966,3.2375,3.25,3.238095238095238,-0.19285714285714295,-0.38461538461538386,-0.16682863621639066,0.510956690368455,0.27505090694745865
74,726,montane,forest,10.333333333333334,1.9999999999999947,3.5,0.04999999999999905,13,4,3.2066666666666666,3.1666666666666665,3.2222222222222223,-0.04000000000000111,-0.5000000000000012,-9.42055475210265e-16,0.5458333333333333,0.23484848484848483
75,818,montane,grassland,51.666666666666664,-3.000000000000026,3.42,-0.020000000000002013,9.333333333333334,-2.000000000000005,3.5433333333333334,3.8214285714285716,3.2333333333333334,-0.30000000000000115,0.285714285714285,0.1999999999999998,0.5601010101010101,0.2549948317120485
76,760,montane,grassland,24.666666666666668,-3.0000000000000075,3.37,-0.08000000000000085,2.6666666666666665,-1.000000000000001,3.5,3.5,NaN,NA,NA,NA,0.5,0.37110016420361247
77,870,montane,grassland,27,-6.000000000000009,3.38,-0.020000000000001506,2,-1.2560739669470201e-15,3.835,3.833333333333333,NaN,-0.6599999999999985,-0.666666666666665,NA,0.75,0.22756766777901372
78,738,montane,grassland,20,-0.39999999999999875,3.26,0.1200000000000001,1.25,-2.2,3.335,4,3,-1.3399999999999974,NA,1.25607396694702e-15,0.6666666666666666,0.5467748917748918
79,641,montane,grassland,33.333333333333336,-1.0000000000000113,3.3333333333333335,0.009999999999997868,2,-2.0000000000000004,4,4,NaN,NA,NA,NA,0.5555555555555556,0.3701613701613702
80,557,colline,forest,4,1.9999999999999991,3.5866666666666664,0.1299999999999989,9.333333333333334,8.999999999999996,3.1966666666666668,3.3333333333333335,3.15,0.2999999999999996,0.5000000000000003,0.24999999999999953,0.5427350427350427,0.16666666666666666
81,783,montane,forest,20.5,0.13544018058690746,3.2874999999999996,0.05756207674943559,15.5,6.455981941309254,2.995,2.9375,3.0208333333333335,0.04198645598194106,0.10722347629796777,0.016930022573363013,0.4928571428571428,0.2695077868990913
82,890,montane,forest,39,-1.0000000000000162,3.1833333333333336,-0.060000000000001434,7.666666666666667,4.9999999999999964,3.2066666666666666,4,3.1333333333333333,0.28999999999999887,2.51214793389404e-15,0.19999999999999887,0.5194444444444445,0.2723258653491212
83,1318,subalpine,forest,47.666666666666664,-6.999999999999995,2.96,0.029999999999998875,23,0.9999999999999918,2.86,2.1666666666666665,2.92020697167756,0.04999999999999884,0.49999999999999956,0.0032679738562084813,0.3746438746438746,0.5012025636925701
84,1069,montane,grassland,26.75,-3.3999999999999986,3.285,-0.003999999999999027,5,-4.400000000000001,3.665,4,3,1.3400000000000016,2.5121479338940407e-15,NA,0.5277777777777778,0.5225061637333442
85,692,montane,forest,17,0.36117381489841827,3.24,0.04334085778780968,6.75,-0.20316027088036068,3.035,NaN,3.0357142857142856,0.028442437923250505,NA,0.029022895840051674,0.29166666666666663,0.3219829877724615
86,1262,montane,forest,15.75,-1.8000000000000007,2.6425,-0.07800000000000008,21.75,3.799999999999998,2.465,1.5416666666666667,2.641346153846154,0.3040000000000001,0.6333333333333329,0.266923076923077,0.44193814575965606,0.48776803118908385
87,2261,alpine,unused,1,-0,1,-0,10.333333333333334,-5.000000000000002,1,1,1,-0,-0,-0,0.46759259259259256,NA
88,2197,alpine,unused,1.6666666666666667,0.9999999999999999,2,-0,2.3333333333333335,2.999999999999999,3.25,3.25,3,1.0000000000000029,1.0000000000000029,NA,1,NA
89,1643,subalpine,forest,22.25,11.4,2.665,0.07599999999999979,15.75,4.199999999999999,2.8049999999999997,2.875,2.800378787878788,-0.020000000000000115,-0.29999999999999977,0.03363636363636413,0.39559012264961924,0.46305786305786306
